C B,BENEFICIARIO,RFC,FACTURAS,CONTRATO,CONCEPTO,TIPO,FDO - #OP,FECHA,IMPORTE,SHEET
126753,INFONAVIT,INF7205011ZA,AP-BIM6-2023-183010-1,NO APLICA,APORTACION PATRONAL - BIMESTRE 6 - Nov y Dic 2023,TR,351000898.0,2024-01-17,2429742.44,CONTRATISTAS
126753,INFONAVIT,INF7205011ZA,AE-BIM6-2023-183010-2,NO APLICA,DESCUENTO SOBRE NOMINA CORRESPONDIENTE AL PAGO DEL BIMESTRE 6 - Nov y Dic 2023,TR,351000899.0,2024-01-17,906239.26,CONTRATISTAS
206273,TESORERIA DE LA FEDERACION,SAT970701NN3,L-CAPTURA 3403-185004-3,NO APLICA,"REINTEGRO AL FDO. RAMO 33-FDO DE INF.SOCIAL MCIPAL, EN APEGO A OBSERV. DE LA AUDIT. 1388 FISM REALIZADA POR LA ASF A LA CUENTA PUBLICA 2022. RENDIMIENTOS FINANCIEROS DE 1)SIS-FISM-18/22-IR MONQ CONSTRUCTORES, S.A. DE C.V. $161.19 Y 2)SIS-FISM-10/22-CP GRUPO CONSTRUCTOR TREVAL, S.A. DE C.V. $4,726.87",TR,1029199.0,2024-01-17,4889.0,CONTRATISTAS
206273,TESORERIA DE LA FEDERACION,SAT970701NN3,183006-1,NO APLICA,REINTEGRO DE RENDIMIENTOS NO DEVENGADOS AL 31 DE DICIEMBRE DEL 2023 DEL PROGRAMA FORTAMUN 2023,TR,353000038.0,2024-01-17,1674610.0,CONTRATISTAS
206273,TESORERIA DE LA FEDERACION,SAT970701NN3,L-CAPTURA 0468-185004-1,NO APLICA,"FISM-2023 REINTEGRO DE PRODUCTOS FINANCIEROS GENERADOS AL 31 DE DICIEMBRE DEL 2023, DEL PROGRAMA RAMO 33 - FONDO DE INFRAESTRUCTURA SOCIAL MUNICIPAL, EJERCICIO 2023",TR,354000119.0,2024-01-17,2356642.0,CONTRATISTAS
206273,TESORERIA DE LA FEDERACION,SAT970701NN3,L-CAPTURA 9455-185004-2,NO APLICA,"PROAGUA-2023 REINTEGRO DE PRODUCTOS FINANCIEROS GENERADOS AL 31 DE DICIEMBRE DEL 2023, DEL PROGRAMA PROAGUA, EJERCICIO 2023",TR,360000018.0,2024-01-17,377088.0,CONTRATISTAS
206273,TESORERIA DE LA FEDERACION,SAT970701NN3,012024REINT-183006-5,NO APLICA,REINTEGRO  DE RENDIMIENTOS NO DEVENGADOS CORRESPONDIENTE DEL 1 AL 18 DE ENERO DE 2024,TR,353000039.0,2024-01-22,4718.0,CONTRATISTAS
206894,MUNICIPIO DE LA CIUDAD DE MONTERREY,MCM610101PT2,183009-7,NO APLICA,FINIQUITO DE FONDO OPERATIVO DE LA SECRETARÍA DE SEGURIDAD Y PROTECCION A LA CIUDADANIA A FAVOR DEL CP MARCO ANTONIO ARANGUA MORALES CON FOLIO DE REINTEGROS:349B-1444 Y 346D-7078,TR,378000001.0,2024-01-30,48075.19,CONTRATISTAS
311732,"F/4086906 BBVA BANCOMER, SA.",BBA830831LI2,11170-183015-2,TES-075-2014,"MINISTRACIÓN 108 DE 120 PARCIALIDADES CORRESPONDIENTE AL MES DE ENERO 2024, SEGÚN CONTRATO TES-075-2014",TR,1029212.0,2024-01-25,2296692.12,CONTRATISTAS
320907,"TORRE MERIDIANO, S.A. DE C.V.",TME070608243,162-183011-34,SFA-075-2023,ARRENDAMIENTO DE LAS OFICINAS DE PLANEACION PRESUPUESTAL CORRESPONDIENTE AL MES DE DICIEMBRE DE 2023.,TR,373000001.0,2024-01-31,134291.17,CONTRATISTAS
110036,"SEMEX,S.A.DE C.V.",SEM680801193,48604-183011-5340,SDU-019-2022,"ESTIMACION # 19 PARA EL SUMINISTRO Y APLICACION DE PINTURA TERMOPLASTICA, PERIODO DEL 1 AL 22 DE SEPTIEMBRE DEL 2023",TR,330001282.0,2024-02-16,5378677.49,CONTRATISTAS
